Label,dec0,dec1,obj0,obj1
0,1,100100000000000001000000000000100001000100000010000010100001,-0.223630,0.091019
0,1,000000010000000000000000000000100000000000001010000010100000,-0.134315,0.063746
0,1,100100010100000000000000000000101001000001000010000010100010,-0.207730,0.097507
1,1,000000000000000000000000000000000000000100000010000010100001,-0.155600,0.036877
1,1,100000000000000000000000000000100000000100000010000010100000,-0.165150,0.046639
1,1,100000000000000000000000000000000000000100000000000010100000,-0.071728,0.023307
0,1,010100111000001101000001010101110011010111000010110011000010,-0.086183,0.390458
0,1,100110101010011110011011100110110110010000111011001111100000,-0.060676,0.564332
0,1,100110101101100110000100111001010000011001101011110000110111,-0.097194,0.480106
1,1,100000010000000000000000000000100001000000000010000010100000,-0.147739,0.052221
0,1,110111011101111101111010011111010010000000001011000111001000,-0.066592,0.595583
1,1,100000000000000000000000000000110001000100000010000010100001,-0.223478,0.074572
1,1,100000000000000000000000000000000001000100000010000010100001,-0.188210,0.046807
1,1,100000000000000000000000000000000001000100000000000010100001,-0.148018,0.033421
0,1,111001001000011110110110110101000011111001100101111101110010,-0.062927,0.523670
1,1,100000000000000000000000000000100001000100000010000010100000,-0.172266,0.048767
1,1,100000000000000000000000000000100001000100000010000010100010,-0.223125,0.059850
1,1,100000000000000000000000000000100001000100000010000010100001,-0.223630,0.056690
1,1,100000000100000000000000000000100001000100000010000010100100,-0.240239,0.061622
1,1,100000000100010000000000000000100001000100000010000010100100,-0.241278,0.081594
1,1,100000000100000000000000001000100001000100000010000010100100,-0.224359,0.086189
1,1,100000000100000000000000000000100001000100100010000010100110,-0.241813,0.100261
1,1,100000000100000000000000000000100001000100000011000010100110,-0.244735,0.093453
1,1,100000000100000000000000000000100001000100000010000010100110,-0.241813,0.072704
0,1,100000000001000000000000000000100001000100000010000010100001,-0.217623,0.088425
0,1,010010100011101101111101100110111110000010111010101011000010,-0.077465,0.630119
0,1,001001110001111110100101101001100000000111101001111110000101,-0.077205,0.544885
1,1,100000000100000000000000000000100001000100000010001010100100,-0.240239,0.067521
1,1,100000000000000000000000000000000011000100000010000010100001,-0.210237,0.056525
1,1,100000000100000000000000000000100011000100000010000010100100,-0.240766,0.071747
1,1,000000110000000000000000000000000000000000000000000000000000,-0.027427,0.016022
