Label,dec0,dec1,obj0,obj1
0,1,010111010100000000000010010101000111011010100000011000101001,-0.175803,0.280193
0,1,011001000000001001011000100110110010110000001001010110111011,-0.250690,0.403315
0,1,011001000000001001011000100110110010110100001001010110101011,-0.257747,0.391555
0,1,010001000000000001011000100110110000110100001001010110101010,-0.253998,0.319944
0,1,000000110100011001001001001110000000111100101011001011100110,-0.125087,0.366102
0,1,000010110100011001001001001110010000011100101011001011100110,-0.127637,0.388964
0,1,011101000000001001011000100110110011110000001001011110111011,-0.239018,0.427519
0,1,011001000000001001011000100110110000110100001001010110101011,-0.257347,0.373908
0,1,011001000000001001011000100110110000110100001001010110101010,-0.253557,0.360049
0,1,011001000000000001011000100110110000110100001001010110101010,-0.253694,0.329383
0,1,001111100100110010101011011011111010101110000001100101011010,-0.089545,0.545332
0,1,011101000000000001011000100110110010110000001001010110111011,-0.245915,0.380782
0,1,011101000000001001011000100110110010110000001001011110111011,-0.239560,0.423729
0,1,011101000000001001011000100111110010110000001001011110111011,-0.240208,0.447089
0,1,111101000000001001011000100110110010110000001001011110111011,-0.233916,0.432856
1,1,010001000000001000010000100110110000110100001001010110101011,-0.264414,0.298615
0,1,011001100010011010100000001110010011001110010100011101101001,-0.125419,0.424076
0,1,011001100010011010100000001110010011001110010100011101101011,-0.126035,0.437897
0,1,010111011100000000001010110100000101011110000010011000111001,-0.174467,0.347175
0,1,010111010100000000000010010100000101011110000000011010111001,-0.179584,0.253448
0,1,010111010100000000000010010101000101011010000000011010101001,-0.177764,0.258129
0,1,010111010100000000000010010100000101011010000000011010101001,-0.180412,0.234660
0,1,010111000100000000000010010100000101011110000000011010101000,-0.181490,0.214170
1,1,011001000000001001010000100110110000110100001001010110101011,-0.259428,0.328611
1,1,011001000000001000010000100110110000110100001001010110101011,-0.263517,0.307705
1,1,010001000000001000010000100110110101110100001001010110101011,-0.266029,0.317641
0,1,000011010100101010111100010011010000100000100100110010100011,-0.080138,0.415983
0,1,011111000000001001011000100110110010110000001001011110111011,-0.239430,0.431385
0,1,111111000000001001011000100110110010110000001000011110111011,-0.227657,0.432568
0,1,000000110100011001001001001110000000101100101011011011100110,-0.108616,0.368462
0,1,110100011100111011000101010100111101011011111001101111010101,-0.103574,0.578683
1,1,011001000000000000000001000110010000100100000000000100110011,-0.258187,0.167791
0,1,110110100100110001001011011110001110101000101001011111000010,-0.114186,0.507690
0,1,001011001011010101001110010111011101110111101010101110000010,-0.099842,0.582019
1,1,010100000000000000000000000000000100010100000000000100100001,-0.192098,0.050881
1,1,010100000000000000000000000000000100010100000100000100100001,-0.234327,0.064268
0,1,011000010110010000000110011010010001111111101111111111111100,-0.091971,0.482311
1,1,100000010100000000000000000000100000010100000000000000110100,-0.207510,0.057261
1,1,100000000100000000000000000000100000010100000010000000100100,-0.231719,0.056642
0,1,000001111111011000110110011111011111010111001101101000110101,-0.071360,0.631388
1,1,011100000000000000000000000000000100010100000000000100100001,-0.194413,0.055792
1,1,011100000000000000000000000000000100010100000100000100100001,-0.236642,0.069179
1,1,011100000000000000000000000000000100010100000101000100100001,-0.242851,0.085338
0,1,100110100100011110000000101011100100100110011000010001000101,-0.119047,0.389290
1,1,010100000000000000000000000000000100010100000000000000100001,-0.161683,0.045653
0,1,000100010100000000000000000000001000010101000000000000110000,-0.182854,0.071162
1,1,011100000000000000000000000100000101010100000100000100100001,-0.246166,0.105431
1,1,000000000000000000000000000000000000100000000000000000010000,-0.072323,0.015920
1,1,000000000000000000000000000000000000000000000000000010010000,-0.061467,0.018397
0,1,111000110010000000111101011000111100010101101110011100100010,-0.105053,0.471168
0,1,100011010001011010001101011001001111110111101001100101001000,-0.076880,0.514039
0,1,010101010100010000000000010000000100011110000000011110111001,-0.233072,0.196630
