Label,dec0,dec1,obj0,obj1
0,1,000010101010000000000000000000000000000000000000000000011000,-0.110199,0.059928
0,1,000010101010000000000000000000010000000000000000000000011000,-0.133731,0.070806
0,1,000010101000000000000000000000000000000000000000000000011000,-0.109435,0.042194
0,1,000110101000000000000000000000000001000000000000000000011000,-0.131650,0.048678
1,1,000010101000000000000000000000000000000100000000000000001000,-0.139737,0.033023
0,1,000010101010000000000000000000001000000000000000000000011000,-0.130755,0.072698
0,1,001000010111001111101011000000001110111000110101010011110110,-0.075937,0.498439
0,1,000010101000000000000000000000000010000000000000000000011000,-0.144050,0.051618
0,1,000010101000000000000000000000000010000000000000000000011001,-0.144050,0.059499
0,1,000010101000000000000000000000010010000000000000000000011000,-0.144577,0.062496
0,1,101110000000011111000110000100101000001100001011001001100000,-0.120065,0.364562
0,1,010101001001110000110011110001011110000010000110000111001101,-0.137441,0.502068
0,1,010010100011011001100101101000110100011100100111000100111001,-0.137061,0.497906
1,1,000000111000000000000000000000000100001100000000001110111000,-0.201118,0.094994
1,1,011000000000000000000010000100010000101100000000000100100001,-0.204345,0.114712
0,1,011000000000000000000010000100000000101100010000000100100001,-0.184512,0.121735
1,1,000000111000000000000000000000000100001100000000001110111010,-0.201118,0.102876
1,1,011000000000000000000000000100000000100100000000000100100001,-0.189361,0.069988
0,1,000000111000000000000000000000000000001100000000001110111000,-0.177862,0.085555
0,1,000000111000000000000000000000000000001100000000001110111010,-0.177862,0.093514
0,1,000000101010000000000000000000000100000000000000000000011000,-0.122373,0.061881
0,1,000000101010000000000000000000000000000010000000000000010000,-0.067757,0.082011
0,1,000000101010000000000000000000010000000000000000000000011000,-0.122373,0.063318
1,1,000000101000000000000000000000000000000000000000000000011000,-0.098077,0.034706
1,1,000000101000000000000000000000000000000100000000000000001000,-0.114706,0.028686
1,1,000000000000000000000000000000100000000100000000000000100010,-0.139550,0.032062
1,1,000000100000000000000000000000000000000100000100000000000000,-0.101283,0.026317
1,1,100000101000000000000000000000100000000000000000000000011000,-0.154467,0.050364
0,1,011000000000001000000001000100000011100000000100001110100001,-0.232320,0.180337
0,1,011000000000000000000001000100000000000000000100000000100001,-0.162158,0.092264
0,1,001011101000010000010001000011100111011100001011101010111010,-0.206980,0.366314
0,1,001011101010010000010001000011100111011100001011101010111010,-0.171572,0.400807
0,1,011000010000001000000001000100001010100100000100001010100001,-0.224460,0.203866
0,1,000000101010000000000000000000000001000000000000000000011000,-0.112013,0.054737
0,1,101110111010110111011000111001110010011110001010110101111111,-0.087600,0.613582
0,1,011000010000001000000001010100000010100101000100001110100001,-0.206059,0.241141
0,1,000000101000000000000000000000000011000000000000000000011000,-0.129214,0.048949
1,1,000000000000000000000000000000000010000100000000000100100010,-0.159549,0.036422
0,1,001011101111101100010011001001111101000010101010010111100100,-0.128356,0.540423
0,1,001101010111000000110110100001111111110010100000101000000101,-0.121079,0.464189
1,1,011001000000000000000000000100010000000100000000001110100001,-0.222439,0.101286
1,1,011000000000000000000000000000000000100100000000000101100001,-0.169410,0.044993
1,1,011001000000000000000000000100001000100100000000000100100001,-0.216661,0.096685
1,1,011001000000000000000000000100011000100100000000000100100001,-0.230835,0.107450
1,1,011001000000000000000000000100111000100100000000000100100001,-0.241252,0.117595
0,1,010001000000001000000001000100100010100100000100001010110001,-0.224340,0.209723
0,1,010001001110001000000011000100101010100101100100001010011001,-0.182189,0.373156
0,1,010001001010001000000011000100101010100101100100001010011101,-0.214817,0.348659
0,1,011001001010001000000011000000101110100101100101100010011101,-0.193677,0.352192
0,1,000000101000000000000000000000100000010000000000000000011000,-0.128775,0.049925
