Label,dec0,dec1,obj0,obj1
0,1,001010101000000000000010011000100110101101000011000010001001,-0.229007,0.234755
1,1,010000000000000000000000000000000001100100000000000100100010,-0.168906,0.039120
1,1,010000100000000000000000000000000000100100000000000000000000,-0.085877,0.020063
0,1,001010101000010000000010011000100010101101000011000010001001,-0.229771,0.242469
0,1,001010100000000000000010011000100010101101000011000010000001,-0.208162,0.206360
0,1,001010101000000000000010011000100010101101000011000010001001,-0.228495,0.225317
1,1,000000000000000000000000000000000001100100000000000100100000,-0.083137,0.022647
1,1,000000000000000000000000000000000000100100000000000000100000,-0.052722,0.013091
1,1,000010000000000000000000000000000000000100000000000000100000,-0.076377,0.012538
0,1,111000010101101011110100001111110001101011000000100001001011,-0.081850,0.512642
0,1,000101101000000110000001100010100001010000000000010110000000,-0.101211,0.226347
0,1,000101101000000110001001100010100001110000001000010110000000,-0.103033,0.272831
1,1,000000100000000000000000000000000001100100000100000000000001,-0.156553,0.039994
1,1,000000100000000000000000000000010001100100000100000000000001,-0.179810,0.049922
1,1,000000000000000000000000000000000001100100000000000000100000,-0.052722,0.018092
1,1,000000000000000000000000000000000000100100000000000100100000,-0.083137,0.017652
1,1,000000100000000000000000000000000001100100000000000000000001,-0.121301,0.028041
0,1,010111000100110110000001111000010000100110100000011011110011,-0.123831,0.416778
0,1,000101101000000110000001101010100001110000001000010010000000,-0.091879,0.258639
1,1,000010100000000000000000000000000001100100000000000100000000,-0.087012,0.029522
1,1,000000000000000000000000000000000001000100000000000100100000,-0.083137,0.020665
0,1,000101101000000110000001101010100011110000001000010010000000,-0.092007,0.275432
0,1,000101101000000110000001100000100000110000001000011110000000,-0.117426,0.225575
0,1,000101101000000110000001100010100001110000000000110110000000,-0.101684,0.236656
1,1,000010100000000000000000000000000101100100000000000000000001,-0.164298,0.044725
0,1,000101101000000110000001100010100001110000001000010110000000,-0.103688,0.242846
0,1,000101101000000110000001100011100001110000001000010110000000,-0.099481,0.266457
0,1,000101101000000110000001100010100001110000000000010110000000,-0.103120,0.230032
0,1,000101101000000110001001100010100001010000000000010110000000,-0.100768,0.256332
0,1,001101101000000101000001100000000001110000001000011110000001,-0.137645,0.227565
1,1,000010100000000000000000000000000001100100000000000000000000,-0.085877,0.024464
1,1,000010100000000000000000000000000001100100000000000000000001,-0.144017,0.032406
1,1,000010100000000000000000000000100001100100000000000000000001,-0.174715,0.042275
0,1,001000001010000000100010011000000111101101100001000010101001,-0.178691,0.281800
0,1,000101101000000110000001100000101001110000001000011110000001,-0.147696,0.253843
0,1,000101101000000110100001100010100001110000001000010110000000,-0.098163,0.259760
0,1,000101101000000110000001100000100001110000001000011110000000,-0.117380,0.229314
0,1,000101101000000110000001100000100001110000001000011110000001,-0.125193,0.242763
0,1,000101101000000110000001100000100001110000001001011110000000,-0.114235,0.244844
0,1,000101101000000101000001100000000001110000001000011110000001,-0.137645,0.218740
1,1,100000100000000000000000000000100011011100000011000001100001,-0.229674,0.093417
0,1,100000111011001111011010111001010000101011101101000011001001,-0.087809,0.537300
0,1,001010101000000000000010011000000011111111100011000010000001,-0.211127,0.228789
0,1,010111000100110110000001111000010000100110100000011010110011,-0.130893,0.410040
0,1,111100001101110000111010110001001101110001111110111100010101,-0.107754,0.542540
0,1,100000000110000100010001001010110000000000110100001101100111,-0.117571,0.342214
0,1,000101101000000110000001100010100001110000001000010111000000,-0.110866,0.249302
0,1,000101101000000110000001100010110001110000001000010111000000,-0.110956,0.269164
0,1,000101101000000110000001110010100001110001001000010111000000,-0.114893,0.289424
0,1,000101101000000110000001100010101001110000001000000111000000,-0.132768,0.253654
1,1,000000000100000000000000000000000000100100000100000000000100,-0.158542,0.038739
1,1,000000000000000000000000000000000000100100000000000000000000,-0.034401,0.009896
1,1,000010000000000000000000000000000000000100000000000000000000,-0.058057,0.009242
1,1,000010000000000000000000000000000000001100000000000000100000,-0.080855,0.017443
0,1,111000100010010011101101010111010010001110001011110001011101,-0.083771,0.537778
0,1,010010101100110101100110001101101110001101110101100101101010,-0.103037,0.525398
1,1,010000100000000000000000000000000001101100000100000000000001,-0.179269,0.049835
1,1,000000000000000000000000000000000001100100000000000000000000,-0.034401,0.014894
1,1,000000000000000000000000000000000001100100000000000000000001,-0.092541,0.022821
0,1,000010000111000000110111011001101011001011010011000101001101,-0.111640,0.486345
1,1,000010000000000000000000000000000000100100000000000000000000,-0.062534,0.014240
1,1,000010000000000000000000000000000000100100000000000000000010,-0.120170,0.025319
0,1,101010110100011101111100011011001101011011001111010100001111,-0.057113,0.564824
0,1,001000001010000000000000110000000111101101100011000010100001,-0.175671,0.234227
0,1,111110000111101111111100100101000011000010101101001001010100,-0.046732,0.567533
1,1,000010000000000000000000000000000001100100000000000000000000,-0.062534,0.019234
1,1,000010000000000000000000000000100001100100000000000000000000,-0.094977,0.029107
1,1,000010000000000000000000000000000001100100000000000000000001,-0.120674,0.027179
1,1,000010000000000000000000000000100001100100000000000000000001,-0.153117,0.037048
1,1,000000000000000000000000000000000001000000000000000000010000,-0.073331,0.012846
1,1,000010000000000000000000000000000011100100000000000000000001,-0.145677,0.036532
0,1,011011010000001001001010000101100000001110011101011010011000,-0.160101,0.360832
0,1,011011010001001001001010000101100000001110011101011010011000,-0.157641,0.405966
1,1,000000000000000000000000000000000000110100000000000000000000,-0.034401,0.014880
0,1,011011010000001001011010000101100000001110011101011010011000,-0.163666,0.378088
0,1,001011011101001110110011011100110100011011111011011001010111,-0.057387,0.585124
0,1,011000101000000000000010011000000000111101100011000010101001,-0.221877,0.224042
0,1,100000100110000100010001001010110000000000110100001101100111,-0.111879,0.351942
0,1,001000101000000000000010011000000011111101100010000010101001,-0.225090,0.219744
1,1,000011000000000000000000000000000001100100000000000000000000,-0.085877,0.024464
1,1,000011000000000000000000000000000001100100000000000000000001,-0.144017,0.032406
0,1,101000100000000000000000011100000011110101000011000010100001,-0.205821,0.193684
1,1,010000000000000000000000000000000001100100000000000100110000,-0.173745,0.035889
1,1,010000000000000000000000000000100001100100000000000100110000,-0.206188,0.046195
1,1,110000000000000000000000000000100001100100000000000100110000,-0.209165,0.051629
1,1,000000000000000000000000000000000001100000000000000100100000,-0.064366,0.020864
1,1,000000110000000000000000000000000001101100000000000100100001,-0.171019,0.049199
1,1,000000000000000000000000000000000000100100000010000000110000,-0.153856,0.035968
1,1,000000000000000000000000000000000001100100000000000100110000,-0.145612,0.030498
0,1,111011100100101111100110110101100000000111010111001000110110,-0.077251,0.546420
1,1,000000000000000000000000000000000001100100000000000000110000,-0.115197,0.025937
1,1,000000000000000000000000000000000001100100000010000000110000,-0.154864,0.037890
1,1,000000000000000000000000000000000000100100000000000100110000,-0.144604,0.028577
1,1,000000100000000000000000000000000001100100000000000000010000,-0.125636,0.027973
0,1,100100111111111010011111001000011100001000110010000011001100,-0.077493,0.565804
0,1,011111000001110001110011101110010110100011110011101001010100,-0.095925,0.563012
0,1,101110101000100101001000010011110011001001101010100100101000,-0.098283,0.407848
1,1,000010100000000000000000000000000001100000000000000000000001,-0.113564,0.030524
1,1,000000000000000000000000000000000001000100000010000000110000,-0.155389,0.034329
1,1,000000000000000000000000000000000001000100000000000000110000,-0.115197,0.020942
0,1,000101101000000111000000100010100001110000011000010110000000,-0.075702,0.258025
0,1,000110000000011101001101110011110111100011101001010111110010,-0.123181,0.548263
0,1,011101001101001001100001000001011000111101000000101010001001,-0.114904,0.342524
0,1,100001100101101010100100000000001010111000001011000000100111,-0.152283,0.341874
1,1,000001000000000000000000000000000000100100000000000100110000,-0.172057,0.033710
0,1,010101111101000101001001010111111011100100110110111000011010,-0.090363,0.519967
0,1,101110101000100111001000010010110011001001101010100101101000,-0.116207,0.411033
0,1,101110101000100101001000010011110001001001101010100101101000,-0.098160,0.396238
0,1,001110010000011011001100111101110110110100111001001100001101,-0.107463,0.552046
0,1,001010101001000000000010111000100111101101100011000010110001,-0.197974,0.341717
1,1,010000000000000000000000000000000001100100000000000000010000,-0.125009,0.027681
1,1,000000000000000000000000000000000001100000000000000000000000,-0.015630,0.009989
1,1,100000000000000000000000000000000001100100000000000000010000,-0.125009,0.027571
1,1,010000100000000000000000000000000001100100000000001000110000,-0.175697,0.041664
1,1,000000100000000000000000000000000001100100000000001000110000,-0.152981,0.036728
0,1,110111010001100010001010001101010010110011011011110000111111,-0.095823,0.510318
0,1,110101101011011111000110001110110111101010101010000010100000,-0.117840,0.558285
0,1,001100101010000000000010111000000111101101100011001010110001,-0.195986,0.349121
1,1,000000000000000000000000000000000001000100000000000000010000,-0.096876,0.017751
1,1,000000000000000000000000000000100001000100000000000000010000,-0.130871,0.028057
1,1,100000000000000000000000000000000001000100000010000000010000,-0.165201,0.035963
0,1,110001011111110000110110000100001110000010111010000111110110,-0.104363,0.527433
0,1,110001000100011101001010111110110011111010110001000011000001,-0.121940,0.505378
0,1,010000010001110100101110111010101001111110000011000101000101,-0.166993,0.507870
0,1,000100011101001100101111010011111111011101011100011011011110,-0.136908,0.605577
0,1,100101001010110000111101000100101001100111001001011001000100,-0.111393,0.445627
0,1,000010101000010000000000000000000101110100000011000000111000,-0.233498,0.117691
0,1,101100101101101111011011110000101000111000000101000100110010,-0.103134,0.507594
0,1,001010101000000000000010011000100110101101000011000010000001,-0.226950,0.220374
0,1,001110101000000000000010011000000111101101100011000010000001,-0.226167,0.243712
0,1,001010101000000001000010011000100010101101100011000010000001,-0.224143,0.247323
0,1,001010101000000000000000011000100111101101100011000110100001,-0.243422,0.247101
0,1,001010101000000000000000011000000110101101100011000010100001,-0.244415,0.214064
1,1,000000101000000000000000000000000101101100000000000100100001,-0.196270,0.055217
0,1,001010101000000000000010011000100010101101000011000010000001,-0.226438,0.210935
0,1,001010101000000000000010011000110010101101000011000010000001,-0.226434,0.230064
0,1,001010101000000000000010011000100010101101000011000010000000,-0.175533,0.203059
0,1,001010101000110000000010011000100010101101000011000010000001,-0.226750,0.261863
0,1,001010101000100000000010011000100010101101000011000010000001,-0.225474,0.244711
0,1,001010101000000000000010011000100010101101010011000010000001,-0.231697,0.232431
