Label,dec0,dec1,obj0,obj1
1,1,000010100000000000000000000000000000000100000000000000000001,-0.140198,0.025212
1,1,000010000000000000000000000000000000001100000000000000000001,-0.120674,0.022095
0,1,011111010000100000111001101000011010101010101010010001010010,-0.105795,0.409167
1,1,000010000000000000000000000100100000000100000000000100100001,-0.211179,0.087904
1,1,000010000000000000000000000000000000000100000100000100100001,-0.202267,0.058483
1,1,000010000000000000000000000000000000000100000000000100100001,-0.159728,0.045096
0,1,000110010100101100110100000000110010001000001110010011000100,-0.123391,0.332840
0,1,100110000000000100001101100100010100010110010100100100110001,-0.226986,0.312939
1,1,010000000000000000000000000000000000000100000000000000100001,-0.120844,0.023757
1,1,000000000000000000000000000000000000000100000000000000100001,-0.106384,0.016018
1,1,000000000000000000000000000000000000000100000010000000100001,-0.146576,0.029405
1,1,000010000000000000000000000000000000100100000100000100100001,-0.206737,0.060465
1,1,100000000000000000000000000000000000000100010000000100100001,-0.151260,0.050472
1,1,000010000000000000000000000000001000100100000100000100100001,-0.228833,0.073234
0,1,000110010110101100110000000000110010001000000000010001000100,-0.121943,0.286880
0,1,000110010100101100110000000000110010001000000000010001000100,-0.122482,0.253932
0,1,000110010100101100110000000000110010001000010000010001000100,-0.121820,0.266514
0,1,100110001000000100001101000100010000100110010100100100110001,-0.257050,0.276280
1,1,000010100000000000000000000000000000010100000000000000000001,-0.144017,0.030199
1,1,000011000000000000000000000000000000001100000000000000000001,-0.144017,0.030117
0,1,000110001000000100001101000100010000100110010100100100110001,-0.257119,0.266622
0,1,100010000000000000000101000100010010000100010100000100110010,-0.226303,0.184602
0,1,000110010100101100110000000000110010001000001100010011000100,-0.116803,0.284449
0,1,100110001000000100001101000100010100000110010100100100110001,-0.257339,0.290996
0,1,100110010100101100110000000000110010001000001100010011000100,-0.115934,0.293878
0,1,110000010001011010011101001011101111110110110000101001101011,-0.087217,0.552852
0,1,100110001000000100001101000100010000000110010100100100110001,-0.256946,0.274195
0,1,100110001000000100001101000000010000000110010100100100110001,-0.236286,0.244271
