Label,dec0,dec1,obj0,obj1
0,1,011111101110011100000100001011011001011011111000001010100100,-0.100164,0.476212
0,1,010010100001111100111111001110011011100001010110101000011011,-0.083968,0.614065
0,1,001100101101100101101001010011010001000010010011111010001011,-0.094380,0.469152
0,1,101110011110000110001010111001101010011111010100110010110111,-0.128182,0.533348
0,1,100001111011111111111000000110000010011011001010100001110111,-0.051118,0.561741
1,1,111110010110100100001100101001000100100100000100011011010010,-0.196744,0.404789
0,1,011010001100000000100010011111011011110100001111111000001101,-0.082544,0.414130
0,1,010101111001100101010111010100101011010011001100101001001010,-0.093066,0.513531
0,1,011100100010101010111010000000110000011000101110010110110110,-0.103488,0.441617
0,1,011111011100101101010010100100101101011001001100110000100010,-0.128419,0.439382
