Label,dec0,dec1,obj0,obj1
0,1,001100010100100100001001010101001000010101011101111101100100,-0.116177,0.389923
0,1,010011000000011101010011010000110100010000101101110100000110,-0.153584,0.389516
0,1,110100000000000100000001000010010010010100000101000111110001,-0.253789,0.202154
1,1,110000000000000000000001000010010010110100000101000101110001,-0.259081,0.168143
0,1,111111100111011011001101101100110111001111101101011110110000,-0.111235,0.655067
0,1,010111010011111011101100001000011111010101001111010001110110,-0.100432,0.576447
0,1,101001001011101101111000011100000111100100001100110001101100,-0.093524,0.497437
0,1,010111111000001101110100100111000001011110000010000111111011,-0.085269,0.452053
0,1,011001001100111101100001011110110001000001100001010001101111,-0.096730,0.507293
0,1,100100111101111000000111010111010000010100100100000111101001,-0.132663,0.507661
0,1,000100011101100111010100111111110110011011000100110011001101,-0.058484,0.582676
1,1,010101000000000000000000000000000010111100000101000101000001,-0.220204,0.089556
0,1,010000000000011011001110000111010110001001000010110000110110,-0.139481,0.421996
1,1,110000000000000100100001000010010010110100000101000100110001,-0.263280,0.200051
0,1,010100010100100110111101101110010010110010101011010111110100,-0.060489,0.534481
1,1,010101000000000000000000000000000010111100000101000001000001,-0.192860,0.084539
1,1,010101100000000000000000000000000010101100000100000000100001,-0.212149,0.073004
0,1,000010110100001110010110001010000111011011000110111011001011,-0.119241,0.432317
1,1,100001000000000000000000000000000000000100000000000000100000,-0.098064,0.021343
0,1,110111010111011010101001011101100101111011100110000111011111,-0.090114,0.626236
1,1,110001000000000000000000000000000000101100000000000001100001,-0.171361,0.047288
1,1,110001000000000000000000000010000000101100000000000001100001,-0.191604,0.078944
1,1,110001000000000000000000000000000001101100000000000101100001,-0.192753,0.054215
1,1,110001000000000000000000000000010000101100000000000001100001,-0.194618,0.057171
1,1,110001000000000000000000000000010001101100000000000101100001,-0.216010,0.064981
1,1,000000000000000000000000000000000000100000000000000000010000,-0.072323,0.015920
0,1,100000011011000011000010100010011001110011110111010101101101,-0.101981,0.446060
1,1,100001000000000000000000000000000000101100000000000001100001,-0.169047,0.042353
1,1,010101000000000000000000000000000010101100000101000101100001,-0.242230,0.089451
0,1,000001000000010010000101000110001010111110010111000001111011,-0.199579,0.341828
0,1,000001000000010110000101000100000010111100010101000001110011,-0.196660,0.283037
0,1,000001000000010110000101000100000010111100010111000001110011,-0.196660,0.290711
0,1,001001101010001100100010110110011111001011000000101011111000,-0.134242,0.478831
1,1,010101000000000000000000000000000000111100000000000000100001,-0.162338,0.048199
1,1,010101000000000000000000000000000000111100000100000000100001,-0.174339,0.063046
1,1,110101000000000000000000000000000000101100000010000001100001,-0.198783,0.067950
1,1,110101000000000000000000000000000000101100000000000001100001,-0.171361,0.051730
0,1,001001101010001100100010110111011011001011000000101011111000,-0.110171,0.485180
1,1,010101000000000000000000000000100010101100000101000001100001,-0.224299,0.102869
1,1,010001000000000000000000000000000010101100000101000101100001,-0.242230,0.085010
1,1,010001000000000000000000000000000000001100000010000001100001,-0.178522,0.054453
1,1,110001000000000000000000000000000000001100000010000001100001,-0.196789,0.059678
1,1,110001000000000000000000000000010001101100000000000111100001,-0.216010,0.072453
0,1,111011000100000100000101001001001000010101010110011011010001,-0.156999,0.315837
0,1,111011000100000100000101001001001000010101010010011011010001,-0.157907,0.307848
1,1,000000000000000000000000000000100000000100000000000000000000,-0.063594,0.017791
1,1,100001000000000000000000000000000000010100000000000000000001,-0.141703,0.031059
1,1,111101000000000000000000000000100000001100000011000101100001,-0.235244,0.105109
1,1,110101000000000000000000000000000000101100000000000011100001,-0.171361,0.059202
1,1,110101000000000000000000000000000000001100000010000001100001,-0.199103,0.064119
1,1,110101000000100000000000000000000000001100000010000001100001,-0.199867,0.084361
0,1,110110010000000010000000000100000010111100000101000001110001,-0.208297,0.193184
1,1,111101000000000000000000000000000000001100000011000001100001,-0.201570,0.086368
1,1,110000000000000000000000000000000000101100000000000001100001,-0.148018,0.041780
1,1,110000000000000000000000000000010000101100000000000001100001,-0.173021,0.051663
1,1,100001000000000000000000000000000000100100000000000000000000,-0.083563,0.023152
1,1,010101000000000000000000000000000010111100000101000101100001,-0.241595,0.092993
1,1,010101100000000000000000000000000000111100000000000001000001,-0.146011,0.053526
1,1,010100000000000000000000000000000000101100000000000001100001,-0.148018,0.038483
1,1,010101000000000000000000000000100010111100000101000001100001,-0.223664,0.106411
1,1,010100000000000000000000000000000010101100000101000001100001,-0.218483,0.074952
1,1,010101000000000000000000000000000010111100000101000001100001,-0.220204,0.087976
1,1,110001000000000000000000000000000000000100000000000000000001,-0.137883,0.033811
0,1,100101100010101111011110011011001100000110111010100011001110,-0.060257,0.601754
0,1,000010110100001110010110001010000111010011000110111011001011,-0.119504,0.429134
1,1,100001000000000000000000000000000000000100000000000000000001,-0.137883,0.026072
1,1,100001000000000000000000000000000000000100000000000000000000,-0.079743,0.018157
0,1,011101000010001101000000000001011100001110010001100100101010,-0.205111,0.338524
1,1,110100000000000100000000000010110000110100000101000101110001,-0.260558,0.179267
1,1,110100000000000000000000000000000000110100000000000101110001,-0.177932,0.062463
1,1,110100000000000100000000000010010000110100000101000101110001,-0.257063,0.159933
0,1,011101001011000101000000000001011010011000010001100110001010,-0.130102,0.341146
0,1,000011001000000000000100000100000010010110010100001001110001,-0.222482,0.200864
0,1,011101001010000101000000000001011100011000010001100110001010,-0.160922,0.306618
0,1,011101001011000101000000000001011100011000010001100110001010,-0.130506,0.341035
0,1,110100000000000100001000000010011010110100000101000111110001,-0.252659,0.226997
0,1,011001011111111010110010100000010100000101101101011111000010,-0.084083,0.509214
1,1,110100000000000100000000000010110010110100000101000101110001,-0.260558,0.188984
1,1,110100000000000000000000000010010010110100000101000101110001,-0.253718,0.149393
1,1,110100000000000100000000000010110000110100000101001101110001,-0.260496,0.190238
0,1,011101001011000101000000000001011000011000010001100110001010,-0.129981,0.324120
0,1,000011001000000000000100000100000010010110010100001101110001,-0.245441,0.206612
0,1,110100000000000010000010000100000010111100000101000001110001,-0.214798,0.183555
1,1,110000000000000000000000000010010010110100000101000101110001,-0.254843,0.141574
1,1,110000000000000000000000000010110010110100000101000101110001,-0.254788,0.160249
1,1,110000000000000000000000000010000010110100000101000101110001,-0.251339,0.130809
0,1,011001000000010010001100001010011010110110010101000001111011,-0.228933,0.375282
0,1,011001000000010010001100001010011010110110010100000001111011,-0.218527,0.350970
1,1,110000100000000000000000000000000000000000000000000000000001,-0.105815,0.032070
1,1,110000100000000000000000000000000000000000000000000000000000,-0.048179,0.020986
1,1,000000000000000000000000000000000000001000000000000000000000,-0.000000,0.004905
