Label,dec0,dec1,obj0,obj1
0,1,000000010100000000000000000001000010101000010100111000000110,-0.171310,0.148766
1,1,000000010100000000000000000001001000101000010100100000000110,-0.186722,0.127173
1,1,000000010100000000000000000001001000101000011100100000000110,-0.200426,0.140390
0,1,000000010100000000010000000001001000101000011100100100000110,-0.209301,0.162059
1,1,000100010101000000000000000000001000101000011100100100000110,-0.217538,0.147483
1,1,000000010101000000000000000000001001101000011100100100000110,-0.216965,0.142809
0,1,010000010100010000000000000001010000101000010100001000000110,-0.201456,0.162689
0,1,000000010100000000000000000001000000101000010100111000000110,-0.169215,0.131811
0,1,010000010100010000000000000001011000101000010100001000000110,-0.201456,0.173408
0,1,000000010100000000000000000001000000001000010100001010000110,-0.150397,0.135320
0,1,000000010100000000000000000001001000101000010100101000000110,-0.181388,0.135330
0,1,000000010100000000000000000001101000101000010100101000000110,-0.181256,0.154984
0,1,010010010100010000000000000001000100101000010100101010000110,-0.197602,0.207403
0,1,000000010101000000100000000001001000101000011100000000000110,-0.197077,0.168447
1,1,010000010101000000000000000000001000101000011100100100000100,-0.236213,0.157169
1,1,000000010100000000000000000001001000101000011100100100000110,-0.211770,0.144951
0,1,000000010101000000000000000001001000101000011100100100000110,-0.214544,0.163493
0,1,000010110100000000000000000001000000000000001000000100000110,-0.132032,0.100004
1,1,000000010101000000000000000000001000101000011100100100000110,-0.217538,0.139249
0,1,000000010111000000000000000000001000101000011100100100000110,-0.210409,0.170984
0,1,000000010101001000000000000000001000101000011100100100000110,-0.212772,0.169631
1,1,000000010101000000000000000000011000101000011100100100000110,-0.217538,0.150284
1,1,000000010101000000000000000000001000101000011100100100000100,-0.215444,0.125517
0,1,100000010101000000000000000001001000101000011100100100000110,-0.210603,0.172425
1,1,000001010101000000000000000000001000101000011100000101000110,-0.222531,0.147461
0,1,110001010000001000001100001010000001101000011100101010000001,-0.164717,0.277104
1,1,000000010101000000100000000000001000101000011100100100000110,-0.217538,0.156601
0,1,000110010100000000000000000001000000101000010100101010000110,-0.180327,0.163454
0,1,010000010100010000000000000001000000101000010100000010000110,-0.180178,0.167097
0,1,010000010100010000100000000001000000101000010100101010000110,-0.197199,0.199561
1,1,000010010100000000000000000001001000101000010100100000000110,-0.193315,0.135333
1,1,000000010100000000000000000001000000000000010000000000100110,-0.116669,0.093731
1,1,000010010100000000000000000000001000101000010100100000000111,-0.196771,0.125458
0,1,000000010100000000100000000001000000101000010100101010000110,-0.172091,0.164411
0,1,110000010100000000000000010001000000101000000100101010000010,-0.167958,0.148214
0,1,010000010100010000000000000001000000101000010100001010000110,-0.191989,0.175254
0,1,010000010100010000000000000001000000101000011100001010000110,-0.203066,0.188471
0,1,010000010100010000000000000001010000101000010100001010000110,-0.210972,0.185136
0,1,010000010100010000000000000001000000101000010100101010000110,-0.197296,0.182174
0,1,010000010110010000000000000001000000101000010000101010000110,-0.165703,0.186700
0,1,010000010100010000000000000001001000101000010100001010000110,-0.205011,0.194624
0,1,010000010100000000000000000001000000101000010100101010000110,-0.197122,0.151994
0,1,010000010101010000000000000001000100101000010100001010000110,-0.199570,0.209857
1,1,010000011100000000000000010000000100000000000000001000101010,-0.174289,0.099452
0,1,000000010110000000000000000001000000101000010100101010000110,-0.166828,0.179774
0,1,000001010100010000000000000001000000111000010100101010000110,-0.165468,0.190860
0,1,000000010100010000000000000001000000101000010100101010000110,-0.174580,0.177239
0,1,000000010100010000000000001001000000101000010100101010000110,-0.172013,0.205982
0,1,000000010101000000000000001001000000101000010100101010000110,-0.166207,0.208063
0,1,000000010100000000000000000001000000101000010100101010000110,-0.172091,0.147059
0,1,000000010100100000000000000001000000101000010100101010000110,-0.148437,0.179649
0,1,000000010100010100000000000001000000101000010100101010000110,-0.163303,0.198490
0,1,000000010101000000000000000001000000101000010100101010000110,-0.175994,0.164434
0,1,000000010000000000000000000001000000101000000100101010000010,-0.128042,0.100154
0,1,010000010100010000000000000001000100101000010100101010000110,-0.199007,0.199243
0,1,000000010101000000000000000001001000001000011100100100000110,-0.199503,0.161465
1,1,000010010100000000000000000001001000101000010100100100000110,-0.195432,0.139895
1,1,000000010100000000000000000001001000000000011000000100100110,-0.192354,0.124567
1,1,000000110100000000000000000000001000000000011000000100000100,-0.157076,0.086894
0,1,010000010100010000000000000001000000101000010100001110000110,-0.202586,0.180270
0,1,010000010100000000000000000001000000101000010100001110000110,-0.202229,0.150266
0,1,011011000001101000000101010110101001101110100011000000011110,-0.156188,0.424803
0,1,010000010100010000000000000001000000101000000100101110000110,-0.207973,0.174564
0,1,000000010101000000000000000001000001101000010100101010000110,-0.175487,0.168568
0,1,011110100101011100011000001000011001010000100100101110010100,-0.118951,0.405072
0,1,100001010000001000001000101000000001101010011100100110000001,-0.153048,0.254493
1,1,000000010100000000000100000001001000101000010100100000000110,-0.187704,0.142969
1,1,000100010101000000000000000000001000101000011100100101000110,-0.236955,0.152744
1,1,000000010101000000010000000000001000101000011100000101000110,-0.221384,0.155453
0,1,010000010100010000000000000001000000011001010100101010000010,-0.151451,0.177835
0,1,101011101100110111000111101110001000111000000001111110000101,-0.083689,0.520178
0,1,000100010100000000000000000001001000111000011100100000000110,-0.202161,0.150610
1,1,000000010101000000000000000000001000111000011100100100000110,-0.217538,0.141235
1,1,000000010101000000000000000000001000101000011100100101000110,-0.236955,0.145038
1,1,000000010101000000000000000000011000101000011100100101000110,-0.236955,0.156073
1,1,000000010101000000000001000000001000101100011100100101000110,-0.240192,0.175325
1,1,000000010101000000000000000000001000101000011100000101000110,-0.230746,0.137978
1,1,000000010101000000000001000000001000101100011100000101000110,-0.235153,0.167615
0,1,110001010000001000001000001010000001101000011100101010000001,-0.170461,0.247520
0,1,100011101100111111000111101110001000111000000011111110000101,-0.078186,0.549217
0,1,100001010000001000001000101000000001101010011100101010000001,-0.161720,0.255694
0,1,110001010000001000001000001010000001101000011100111010000001,-0.152598,0.254452
0,1,100001010000001000001000001000001001101000011100101010000001,-0.186209,0.225234
0,1,010000010100010000000000000001000000111000010100001010000110,-0.189799,0.178904
0,1,011001100010001100001010010010101011000111000100001110101001,-0.233067,0.427656
0,1,100001010100011000110000001001000001101000010100100010000100,-0.157953,0.271314
0,1,000001010100010000000000000001000000101000010100101010000110,-0.167658,0.187210
0,1,010001010100010000000000000001000100101000010100101010000110,-0.192085,0.209214
0,1,010001010100010000000000000001000100101000010000101010000110,-0.168081,0.191001
0,1,111001100010000100001010000010111011000111000100001010101101,-0.225904,0.383450
0,1,100001010000001000001000001000001001001000011100101010000001,-0.184225,0.221628
0,1,101011110111101001111011110111011111001001010100111011111110,-0.107082,0.717363
1,1,000000010100000000000000000001001000101000010100100000100110,-0.192733,0.133212
1,1,000000010100000000000000000001011000101000010100100000100110,-0.193261,0.143081
1,1,000000011000000000000000000000000000000000000000000010001010,-0.059210,0.039189
0,1,011001001101110110101101111011001111010111001101110101011101,-0.112652,0.656176
1,1,000000010000000000000000000001100000000000000000001010000010,-0.125239,0.072365
1,1,000000011100000000000000010000000010000000000000000010001000,-0.136438,0.078655
0,1,000000011100001001000011011010111001011010010011011111010010,-0.099692,0.421968
0,1,000010110100000000000000000001001000001000011100100100000110,-0.201704,0.156340
0,1,000010110100000000000000000001001000101000011100100110000110,-0.215328,0.189420
1,1,000000010100000000000000000001011000101000010100100100100110,-0.235384,0.149019
0,1,011011000001001000000111010110101001001110100011000000011110,-0.156238,0.418642
0,1,011011000001000000000111010110101001001110100011000000011110,-0.148736,0.401508
1,1,000010010100000000000000000000001100101000010100100000100111,-0.206151,0.147848
1,1,000010010100000000000000000000001000101000010100100000100111,-0.205624,0.130970
1,1,000000010100000000000000000001001000000000001000000000000110,-0.138271,0.089778
0,1,011001100010001100001000010010101011010111000100001110101001,-0.234443,0.381084
0,1,000000110100000000000000000001000000101000010100101010000110,-0.177104,0.152286
0,1,000010110100000000000000000001001000101000011100100100000110,-0.217020,0.158321
0,1,011011000001001101001110010110101001001110100001000000001110,-0.155490,0.443934
0,1,000001110100010000000000000001000000001000010100101010000100,-0.148095,0.176585
1,1,000000010101000000000000000000001000100000011100110101000110,-0.236020,0.148517
0,1,011101011100101101101110110001000010011010010101001000001010,-0.135249,0.484513
0,1,100001110100011000100000100001000001001000010110101010001101,-0.156653,0.307740
1,1,000000010101000000000000000000001000100000011100100101000110,-0.233518,0.141544
1,1,000000010101000000000000000000001000100000010100100101000110,-0.198421,0.121494
0,1,100101001101011101111011011101100111110010100010000011100001,-0.068059,0.569520
0,1,010100101010100101111110101100010011010100110101101001000011,-0.080792,0.514911
0,1,100001001110000001000110111111101001100101101001100111100101,-0.102523,0.497492
1,1,011001100010001100001000010010101001000111000100001110101001,-0.236459,0.362287
0,1,011001100010001100001000010010101011000111000100001110101001,-0.234332,0.379072
0,1,011001100010001000001000010010101011000111000100001110101001,-0.231493,0.355952
1,1,010000010100000000000000000000001000000000011000000101000110,-0.193788,0.106243
0,1,011001001011000111001111000001000101101110110101011001010010,-0.102784,0.474355
1,1,000000010100000000000000000000001000000000011000000101000110,-0.182430,0.100850
0,1,011001000010001100001010010010101011000111000100001010101001,-0.231428,0.408955
0,1,011011110111011100100100000100010000011011100001010101111010,-0.096156,0.463960
0,1,011011000001001000000110010110101001000110100011000000011110,-0.164922,0.388750
