Label,dec0,dec1,obj0,obj1
0,1,101000000100101000001000010101110000000101001001100000100101,-0.117502,0.339467
0,1,100101000001010011000000001000101001100101000010100101100101,-0.243039,0.278933
0,1,100101000001110011000000000000101101110101010011100100100111,-0.241151,0.334145
0,1,110101000000100000000000000000101101110100000000000100100011,-0.229559,0.113956
0,1,100000111000000000000000000010001001101001001010100000101110,-0.224471,0.179631
0,1,101000000100101000001000010101110001000101001001100000100101,-0.117201,0.343208
0,1,100101000001101011000000011000100001010100010011100000100111,-0.194646,0.354507
0,1,100010111101000000100000001100001010010010010110110011000110,-0.101115,0.321721
0,1,100101000001101011000000011000100001010100010011100000100110,-0.152807,0.320040
0,1,100101000001101011000000011100100001010100010011100000100111,-0.194388,0.381042
1,1,100101000000000000000100000000000100000100000000000100100001,-0.211870,0.070730
1,1,100101000000000000000000000000000100000100000000000101100001,-0.209876,0.057120
1,1,110001000000100000000000000000101101010100000000000100100011,-0.229559,0.107285
1,1,000000100000000000000000000000000000000100000000000000000000,-0.057027,0.012928
0,1,100101000001000011000100001000100100010100000010100101100011,-0.241392,0.261325
0,1,100101000011101011000000011000100001010100010011101000100111,-0.191745,0.400087
0,1,101100010111011100110110100000111000010010111011001000000110,-0.090177,0.512574
0,1,000011010000111000001000001000001000100010111011001011101000,-0.106867,0.341597
0,1,000011010001111000001000001000001000100010111011001011101000,-0.104957,0.374641
0,1,100101000001110011000001001000101001010001000011100100100111,-0.230009,0.352572
1,1,100101000001000011000100001000101001010101000010100101100111,-0.248852,0.294340
1,1,110101000000100000000000000000101101010100000000010100100011,-0.237420,0.132486
1,1,110101000000100001000000000010101101010100000000000100100011,-0.240016,0.203915
1,1,110101000000100000000000000000101001010100000000000100100011,-0.229559,0.102496
1,1,110101000000100000000000000100101101010100000000010100100011,-0.252540,0.184306
1,1,110101000000000000000000000000101101010100000000010100100011,-0.236909,0.114424
1,1,100101000000100000000000000100111101000100000000100101100011,-0.247577,0.198599
0,1,100101000001101011000000001000101101010101010011100100100111,-0.242956,0.370809
0,1,100101000001110011000000001000101101010101010011100100100111,-0.242065,0.357333
0,1,100101000001101011000000001010101101010100010011100100100011,-0.231417,0.363647
0,1,100101000001101001000000001000100101010101010010100100100110,-0.192141,0.287076
1,1,110101000000000000000000000000111101010100000000000100100011,-0.229559,0.104626
1,1,110101000000100000000000000100111101000100000000000101100011,-0.247577,0.197355
1,1,110101000000000000000100000100111101000100000000000100100011,-0.243805,0.188747
0,1,100101000001010011000000001000101101010101010011100100100111,-0.242138,0.324295
1,1,100101000001000011000100000000101101010101000010100101100111,-0.248241,0.284439
1,1,110101010000000000000000000000101101010100000000000100110011,-0.236541,0.135186
1,1,110101000000000000000000000000101101010100000000000100100011,-0.229047,0.093915
1,1,110101000000100000000000000000101101010100000000000100100011,-0.229559,0.111977
1,1,100101000001010011000000001000101101010101000010100100100101,-0.245284,0.290428
1,1,100101000001010011000100001000101101010101000010100101100111,-0.245819,0.342178
1,1,100101000001000011000100001000101101010101000010100101100111,-0.249037,0.311302
0,1,100101000001101001000000001000101101010101010011100100100111,-0.237859,0.349116
0,1,100101000001101001000000001000101101010101010010100100100111,-0.237859,0.341772
0,1,100101000001110011000000001000100101010101010011100100100111,-0.239096,0.337053
1,1,100101000001000011000100001000100101010100000010100101100011,-0.243707,0.263314
1,1,100001000000000000000000000000000000010100010000000100100001,-0.190438,0.060967
0,1,101000000100101000001000010101110001000101001001100010100101,-0.118424,0.354412
1,1,101101000001000011000100000000101101010101000010100101100111,-0.248095,0.293241
1,1,110101010000000000000000000000000000100000000000000100100011,-0.175290,0.065756
1,1,100101000000000000000000000000000100000100000000000110100011,-0.211969,0.069099
1,1,100101000000000000000000000000000100100100000000000100100001,-0.213695,0.055730
1,1,100101000000000000000000000000000100100100000001000100100001,-0.213695,0.069095
1,1,100101000000000000000000000110000110100100000000000100100001,-0.241806,0.134214
0,1,100101000001010011000000001000101001110101000010100101100101,-0.243029,0.282877
1,1,100101000000000000000000000000101101010100000000000111100010,-0.223931,0.112911
0,1,100111000001101011000000001000101101000101010011100100100111,-0.207872,0.374828
0,1,100101000001000011000000001000110101010100000010100111100011,-0.243384,0.261542
0,1,100101000001000011000000001000100101010100000010100111100011,-0.240411,0.240486
1,1,110101010000000000000000000000000000000000000000000100100011,-0.161136,0.063778
