Label,dec0,dec1,obj0,obj1
0,1,000011000010000110101010000000101010000110100001010011001001,-0.105577,0.345460
0,1,000110010010000001001000100100110001101100101011001000011011,-0.202632,0.338269
0,1,000011000010000110100010000000101010000110100001010011001001,-0.103666,0.313552
0,1,000011000010000111100010000000101010000110100001010011001001,-0.100900,0.335243
0,1,000111000010000110100011000000101010000010100001110011001001,-0.107906,0.352112
0,1,111100010100000111100101000101000011101010100011000111011101,-0.092308,0.423655
0,1,010010010110011001100011111110111100000010100000101101010011,-0.107481,0.562325
1,1,000110000000000001000000000100110000101000101011001011010011,-0.246763,0.223103
1,1,000100110000000001000000000000110001111100100000001001010010,-0.191392,0.144984
0,1,001111001100100101010111110110011010111110000000000001011011,-0.162793,0.509189
1,1,010110110000000000000000000000110001111100100000001001010010,-0.214108,0.134218
1,1,000110110000000000000000000000110001111100100000001001010010,-0.214108,0.128960
0,1,111110111101100110111011100001110001001000010100110000110101,-0.088057,0.517073
0,1,011010011110110110111000001111110100100110011010111010010100,-0.084817,0.559211
0,1,011110011011111110010101110111100100000000011000010111010110,-0.080440,0.623028
0,1,000110111010000001000000000100100001101100100011001011011011,-0.235390,0.282022
0,1,000110110010000001000000100000110001101110110011101011010001,-0.170118,0.314212
0,1,000010111110010010001000001111011011111010110111100100000110,-0.096309,0.464800
0,1,001111001001000011011101111100000101101010101100000101101111,-0.116470,0.511886
0,1,111011010000101010000011110011100000101111101011010110000001,-0.100767,0.462915
0,1,000110110010000001000000100100110001101100101011001001011011,-0.241441,0.335764
1,1,001010111010000001000000000000100010001100100011001011011001,-0.244856,0.197996
1,1,000110110000000000000000000000110001101100100000001001010010,-0.214108,0.125292
1,1,001110110010000001000000000000100000001100100001001011010011,-0.223194,0.184075
1,1,001110110010000001000000000000100000001100100001001011010010,-0.214845,0.176127
1,1,001110110010000001000000000010100000001100100001001011010011,-0.223053,0.207998
1,1,011110110010000001000000000000100000001100100001001011010011,-0.223194,0.189300
0,1,011101100101111000011011000000001100101010100111000100101110,-0.128647,0.466510
0,1,010110001111100101110101000101111001001111000110010101000000,-0.063685,0.488043
0,1,000011000010000110100010000000101010000010100001010011001001,-0.094138,0.310373
0,1,111110001001000000100010011000110110010101000100101111011000,-0.153488,0.371829
0,1,001000000010010000000010001111111110010110101100111001011000,-0.116806,0.438105
0,1,110111110010111001000001111010101101000101110011011011011000,-0.101946,0.552716
