Label,dec0,dec1,obj0,obj1
0,1,000001010101001100110101010011100111000000011011100010110010,-0.097204,0.454012
1,1,010001100000001000001000000000001010110100000101001010000011,-0.217969,0.171449
1,1,100001100000001000000000000010101010010100000101001010000011,-0.208874,0.196103
0,1,000001101000001000000000000010011000010100110101000010001010,-0.188952,0.196028
0,1,000001100000001000000000000110101000010110000101000010001010,-0.176526,0.207999
1,1,000001100000001000000000000010001010010100000101001010000011,-0.202572,0.167523
0,1,010011101100111100010110101001010111100000101011010010110110,-0.147509,0.519946
1,1,100001100000001000000000000010001010010100000001000010000011,-0.186689,0.149254
0,1,011110100011000100010100011000011101011000001111000100110110,-0.196171,0.399105
1,1,000001100000001000000000000010001010010100000101000010000011,-0.194392,0.158877
0,1,000001100000001000000000000110001010010100000101000010000011,-0.196699,0.184270
0,1,000001100001001000000000000010001010010110000101000010001011,-0.194896,0.226410
1,1,000000100000001000000000000010001010100100000101000000000011,-0.198974,0.138264
0,1,101001000011010101100010011111100000100010111100000101011111,-0.101514,0.542006
1,1,000001100000000000000000000010001010010100000101001110000011,-0.215488,0.155716
1,1,000001100000000000000000000010011010010100000101001110000011,-0.218464,0.166455
1,1,000001100000000000000000000010111010010100000101001110000011,-0.218922,0.185779
1,1,000001101000001000000000000010000010010100000101000110001011,-0.207186,0.179099
0,1,100001101000010100000001000010001010110000110111011010001011,-0.114932,0.328025
1,1,010001100000001000000000000010001010110100000101101010000011,-0.221599,0.181974
1,1,110001100000001000000000000010001010110100000101001010000011,-0.224806,0.184095
1,1,010001100000001000000000000000001010110100000101101010000011,-0.217873,0.157705
0,1,100001101000010110000001000010111010110000110111011010001011,-0.117008,0.387482
1,1,010001100000001000000000000010001010110100000101001010000011,-0.225288,0.174659
1,1,010001110000001000000000000010001010110100000101001010010011,-0.224294,0.199570
1,1,010001110000001000000000000000001010110100000101001010010011,-0.214542,0.166401
1,1,010001100000001000000000000000001010110100000101001010000011,-0.217873,0.141489
1,1,011001100000001000000000000010001010110100000101000010000011,-0.215137,0.175188
1,1,010001100000011000000000000000001010110100000101001010000011,-0.218637,0.158643
1,1,010001110000001000000000000000001010110100000100001010010011,-0.218556,0.137958
1,1,000001100000001000000000000000000010110100000101001010000011,-0.194993,0.117174
0,1,000001100000001000001000000010001010010100000101001010000011,-0.203072,0.197483
0,1,000011100000001000000000000010001010010100000101001010000011,-0.201880,0.207094
0,1,100101001011000001110001100000011100010000011100010000100000,-0.107196,0.315307
0,1,000001100000001001000000000010001010010100000101000000000011,-0.192421,0.170193
1,1,010001100000001000000000000000001010110100000101000010000011,-0.209694,0.132843
1,1,010001100000001000000000000000001010110100000100000010000011,-0.201664,0.109015
0,1,011110100011000110011100011000011101011000001111000100110111,-0.199348,0.468568
0,1,011110100011000110011100011000111101011000001111000100110111,-0.199328,0.489568
0,1,011110100011000110011100011000111101011000001110000100110111,-0.169366,0.459398
1,1,000001100000001000000000000010001010010100000101000000000011,-0.198541,0.149163
0,1,000000100000001000000100000010001010010100000101000000000011,-0.196826,0.175944
1,1,000001100000001100000000000010001010010100000101000000000011,-0.202551,0.169419
1,1,010101100000001000000000000000001010110100000101001010000001,-0.214201,0.137895
0,1,000001001100000110010011000010001010110001110101001010001011,-0.078290,0.355506
1,1,000001100000001000000000000010001010010100000101000100000011,-0.199675,0.154443
0,1,010001011000110110001110010000110000100001010001100011001000,-0.048617,0.396104
0,1,000001010101001100110101010011100111010000011011100010110010,-0.100695,0.457641
1,1,000001100000001000000000000010001110100100000101000000000011,-0.199709,0.164791
1,1,110000100000000000000000100010000011111100010101000100101010,-0.224780,0.214643
1,1,100000101000000000000000100010101011111110010101000100101010,-0.250497,0.263909
1,1,000001100000001000000000000010001010100100000101000000000011,-0.199046,0.147747
0,1,000000101100111000000010010010011010010100000101001110101011,-0.206688,0.383561
0,1,000000101100010000000010000010011010010100000101001110101111,-0.224257,0.307800
0,1,110100111111010000100110011010011101100001100101000100101101,-0.147646,0.510761
1,1,000001100000001000000000000010001010100100000101000100000011,-0.200181,0.152810
1,1,010000100000001000000000000010001010110000000101001010010011,-0.208566,0.178163
1,1,010001100000001000000000000000001010110100000101001011000011,-0.236592,0.144662
0,1,001110100001111001011010110001000110001100110101100001001110,-0.128210,0.501732
0,1,110001001100000000111100000111010110000010010011101111110111,-0.110394,0.443419
1,1,100000100000000000000000100010001011111100010101000110101010,-0.242034,0.232904
1,1,100000100000000000000010100110001011110100010101000110101010,-0.245608,0.286445
1,1,000001100000001000000000000010000010000100000101000000000011,-0.195115,0.127895
1,1,100000100000000000000000000010101011111110010101000110101010,-0.235904,0.223853
1,1,000001100000001000000000000010000010000100000101000000000001,-0.194811,0.114036
1,1,100000100000000000001000100010001011111100010101000100101010,-0.250807,0.251697
1,1,000001100000001000000000000010001010000100000101000000000011,-0.195227,0.145548
1,1,000001100000001000000000000010001010000100010101000000000011,-0.192614,0.158278
1,1,000001100000001000000000000010001010000100000111000000000011,-0.186709,0.160395
1,1,000001100000001000000000000010000010000100000101000100000011,-0.196249,0.133176
1,1,100000100010000000000000000010001011111110010101000010101000,-0.222734,0.198803
1,1,000101100000001000000000000010000011000100000101000100000011,-0.198967,0.145303
0,1,000001110000111111001110100011111101011001001000000101101100,-0.088527,0.546643
0,1,000111010101011111001100100100101010000111001001111110010001,-0.110228,0.525303
0,1,010100011011010011111010001101111011100010011001001110100000,-0.058391,0.542914
0,1,011010100011000110011100001000011101011001101101001110010111,-0.167928,0.475533
0,1,011010100011000110011100001000011101011001101101001110010110,-0.166216,0.461808
0,1,101000101000100000110101101000001110110010111001100000101010,-0.095598,0.404562
1,1,010001110000001000000000000000001010111100000101001010010011,-0.214542,0.168142
1,1,010001100000001000000000000000001010111100000101001010000011,-0.217873,0.143230
0,1,011110100011000110011100011000011101011000101111000100010111,-0.185622,0.477190
1,1,100000100000000000000000100010001011111100010101000111001010,-0.223276,0.208640
1,1,100000100000000000000000100010001011100100010101000110101010,-0.242474,0.225769
0,1,100011110101100011011000011001001100110011010110001110101101,-0.098702,0.496766
0,1,100110000000101000011010001110000010001010100111000100011010,-0.093154,0.392047
0,1,100010100000000000100000100010001011111100010101000110001010,-0.211042,0.252033
0,1,000001010101001101110101010011100111010000011011100010010010,-0.086841,0.472113
1,1,100000100000000000001000100010001011110100010101000110101010,-0.246461,0.257959
0,1,110111111011001101101110101001011100110010101101101000001011,-0.083443,0.604998
0,1,000000101100011000000000010010011010010100100101001110101011,-0.204883,0.333083
0,1,010011101110000010101111011100010101110101001100010000011110,-0.110841,0.499335
0,1,110100011111010000100110011010011101100001100101000100101101,-0.147702,0.500349
0,1,100000100000000000000000100010001001111100010101000110001010,-0.198110,0.193527
0,1,111010011011101001101111010011110000100110110111000010100110,-0.097744,0.597757
0,1,011111111110011101110011000001010101111101101000011101101010,-0.101264,0.523292
0,1,011111100011000110011100011000011101011000101111000100010111,-0.185315,0.487071
0,1,011111111110011101110011000000010101111101101000011101101010,-0.100631,0.498851
0,1,011111100011000110011100011011011101011000101110000100010111,-0.124991,0.548910
1,1,100000100000000000001000100010001011110100010101000100101000,-0.249426,0.234525
1,1,100000101000000000001000100010001011110110000101000100101000,-0.249620,0.244518
0,1,011110000011000110011100011000011101001000001011000100110111,-0.196746,0.446380
1,1,100000100000000000000000100010001011111100010101000110001010,-0.210927,0.203184
0,1,100000100000000000000000100010001011111100010101000110001011,-0.208701,0.240805
1,1,000001100000001000000000000010000010001100000101000000000011,-0.198856,0.131669
1,1,100000100000000000000000100010001011110100010101000110101010,-0.242065,0.229451
1,1,100000100000000000001000100010001011110100010101000100101010,-0.250839,0.248244
1,1,100000100000000000000000100010001011110100010100000110101010,-0.236219,0.205623
1,1,100000100000000000000000100010001011110100000101000110101010,-0.244907,0.216721
1,1,100000100000000000000000100010001011110100110101000110101010,-0.240312,0.243770
0,1,100000100000000000000000100010011011111100010101000110001010,-0.211676,0.222943
1,1,100000100000000000000000100010000011110100000101000110101010,-0.244734,0.197342
1,1,100000100000000000000000100010100011110100000101000110101010,-0.248014,0.215503
