Label,dec0,dec1,obj0,obj1
1,1,010000001000000000000000000000011001100010000101000100110010,-0.224789,0.124473
0,1,111011000011001100111000100001001011110010101100111000110000,-0.125696,0.428069
0,1,110111100110110000001001000000010000001000011010100011100101,-0.183516,0.326306
0,1,011111011000110000100110101011100001011100011101010101110001,-0.126207,0.461428
0,1,100100000101010100101010011000100001011110010010001101101011,-0.185574,0.395147
0,1,100100000101010100101010011000110001011110010010001101101011,-0.185431,0.416123
0,1,100100000101010000101010011100110001011110010010001101101011,-0.191909,0.435919
0,1,101110010010111011110011100000010000100100100010001110001000,-0.082029,0.451102
0,1,101100000101010100101010011000100001011110010010001101101011,-0.201685,0.421410
0,1,100100000101010100101010011000100001011110010010000101101011,-0.185805,0.383318
1,1,010000100000000000000000000000000000000000000000000000010010,-0.112794,0.035254
1,1,010000100000000000000000000000000000000000000000000000010000,-0.109646,0.024172
1,1,000000100000000000000000000000000000000000000000000000010000,-0.086930,0.018947
0,1,011101011000110000100110101011100001011100011101010101110001,-0.126620,0.453192
0,1,001101101001100100011111000111000110010001000001001111101110,-0.079067,0.515729
0,1,100110000101010100001010011000100001011110010010001101101011,-0.168058,0.385198
0,1,100110000100010100001010010000100001011110010010001101101011,-0.184977,0.325761
0,1,110111111101010100001100101101011010100110000010100101011101,-0.112738,0.525750
0,1,111010110010100111000110100010110101101001111110001010001100,-0.103214,0.510994
0,1,011111011000110000100110101011100001001100011101010101110011,-0.127538,0.470979
0,1,100100000101010100101010011000100001001110010010001101101011,-0.185241,0.393183
0,1,110011001000101111000010011101100001000000001011101000011111,-0.103699,0.470307
0,1,100100000101010100001010011000100001001110010010001101101011,-0.193429,0.375438
0,1,100100000101010100001010011000100001001110110010001101101011,-0.188820,0.405128
1,1,010000100000000000000000000000000000000000000000000001010000,-0.109646,0.030482
0,1,001000100100111001000110100010100000011010010100100001010110,-0.116484,0.396982
0,1,101011000111000111111110101110101001010001010010000100011000,-0.049139,0.556300
0,1,110011000100001101010011101101001111001010101111110110100101,-0.109488,0.515634
0,1,011000000110000001000001010000011101101100000101001100110010,-0.244432,0.266577
0,1,100010100101001101000110010000011101000110100011001101001011,-0.202397,0.411991
1,1,010000000000000000000000000000000101101100000001001100100010,-0.191437,0.068256
0,1,100100100101010100101010011000100000011110010000000101101011,-0.178327,0.381872
0,1,111011100010011001101001001001110111011010010101001010001001,-0.087517,0.497540
0,1,000100100101010101001010011000101001011110010010000101101011,-0.171978,0.423263
0,1,000100100101010100001010011000101001011110010010000101101011,-0.198724,0.376928
0,1,000100100101010100001010011000111001011110010010000101101011,-0.201622,0.398045
0,1,000100100101011100001010011000101001011110010010000101101011,-0.168825,0.407106
0,1,001011010110001111010101010001110101100001011111010110010110,-0.092231,0.520825
1,1,010000000000000000000000000000000000000000000000000000010000,-0.075927,0.018664
1,1,010000000000000000000000000000010000000000000000000000010000,-0.111305,0.028609
1,1,010000000100000000000000000000000000000000000000000000010100,-0.105424,0.037253
1,1,010000100000000000000000000000000000000000000000000000110000,-0.127966,0.030485
0,1,000101010011100100101100011101001010001110111111100110111111,-0.097415,0.583590
1,1,000000000000000000000000000000000000000000000000000000010000,-0.061467,0.010925
1,1,100000000000000000000000000000000000000000000000000000010000,-0.076935,0.015739
1,1,010000000000000000000000000000000000000000000000001000010000,-0.076494,0.024154
0,1,101110100011111101110110111110110110011011000101011110110010,-0.068347,0.701346
0,1,000100100101010100101010011000101001111110010010100101101011,-0.197049,0.405021
0,1,100110000101010100001010011000100001011110010011001101001011,-0.181039,0.404540
0,1,000011111101111100010101001010000110010111011111000100100001,-0.097832,0.503016
0,1,100000000101010100001010011000100001000110010010001101101011,-0.189572,0.363556
0,1,110111100110010000001001000000010000001000011010100011110101,-0.173293,0.323456
1,1,010000100000000000000000000000000000000100000000000000010000,-0.141210,0.029077
0,1,010000000110000000000000010000011101001100000101001100010010,-0.234466,0.186436
1,1,010000000110000000000000010000011101000100000101001100110010,-0.264881,0.187554
0,1,110111100110010000001001000100010000001000011010100001110101,-0.141904,0.352542
0,1,001101101001100100011110000111000110010001000001001111101110,-0.083133,0.488360
0,1,111111011110000100111101110111110110010011001011110101101111,-0.085703,0.640777
0,1,000000000111010000000000000000011111111100100101001100010110,-0.195520,0.235096
0,1,110111100110010000001101000010010000001000011010110011110101,-0.170522,0.384240
0,1,000000000011110100000000000011011011101000100100001100100010,-0.159865,0.319911
0,1,011000000110000000000000000000011101101100001101001100110110,-0.238044,0.213673
1,1,011000000000000000000000000000001101101100000001001100110010,-0.203462,0.104104
1,1,010100000000000000000000000000000101101100001001001000110010,-0.185177,0.096276
1,1,010000000000000000000000000000000101101100000001001100110010,-0.199959,0.077111
1,1,010000000000000000000000000000000101101100000001001100110000,-0.195772,0.068906
0,1,010000000110000000000000000000001101101101000101001100110010,-0.230710,0.181607
0,1,010000000110000000000000000000011101101101000101001100110010,-0.233806,0.201110
0,1,010000000111000000000000000000011101101100000101001100110110,-0.251448,0.235451
0,1,010010000100000000000000010000011101001100000101001100110010,-0.253866,0.174580
1,1,010100000000000000000000000000001101101100000001001000110010,-0.182070,0.093990
1,1,010000000000000000000000000000001101101100000001001100110010,-0.200486,0.094763
0,1,000100100101010100001010011001101001011110010010000101111011,-0.145365,0.416594
1,1,010000000000000000000000000000000101101100000001001000110010,-0.178567,0.072095
1,1,010000000000000000000000000000001101101100000001001000110010,-0.179094,0.089747
1,1,010000000000000000000000000000000000000100000000000000010000,-0.105851,0.023576
1,1,010000000000000000000000000000000000000000000000000000000000,-0.014460,0.007741
1,1,011000000000000000000000000000010000000100000000000000010011,-0.155432,0.060234
0,1,100110011010000100111101001010010111111011011000001110100111,-0.134284,0.500302
1,1,010000000110000000000000010000011001001100000100001100110010,-0.237185,0.162035
0,1,100110011010000100111101001010110011111011010000001110100111,-0.134453,0.491095
1,1,010000000010000000000000000000011101001100000101001100110010,-0.243860,0.158903
1,1,010000000110000000000000010000011101001100000101001100110010,-0.264881,0.189752
1,1,010000000000000000000000000000000001000100000000000000010000,-0.111336,0.025490
0,1,010011001101011011001001011101110100010000011110100011011000,-0.081535,0.519040
0,1,010000000011110000000000000000011111111100100101001100110010,-0.225827,0.292496
0,1,010010101010010110110001100110000111101111011100101001001110,-0.100463,0.482079
0,1,010000000111110000001000010000011110111100100101000100110010,-0.243371,0.340511
0,1,111001000110000011010010110000110010000101111011010111000111,-0.127970,0.452134
1,1,010000000000000000000000000000011001100010000101000100110010,-0.224789,0.120000
1,1,010000000000000000000000000000011101100010000101000100110010,-0.224789,0.129012
1,1,010000000000000000000000000000011101101010000101000100010010,-0.183972,0.124897
0,1,010101011111110010110101010111111000110000011111010001110000,-0.078906,0.571078
0,1,110111100110010000001000000000010000001000011010100011111101,-0.170567,0.310960
0,1,110111100110010000001000001000010000001000011010100011111101,-0.162942,0.337128
0,1,110111100110010001001000000000010000001000011010100011111111,-0.124228,0.358954
1,1,010100000000000100000000000000011101100010000101000100110010,-0.228716,0.153749
1,1,010000000000000000000000000000011101101010000101000000010010,-0.178945,0.118998
1,1,010000101000000000000000000000000000000000000000000000010000,-0.115598,0.031894
