Label,dec0,dec1,obj0,obj1
0,1,010000111100010000010011101110111001100001010101000000110001,-0.132876,0.421198
0,1,010001001000000110000011001000000001101111001010101101110100,-0.193151,0.287221
0,1,000001111101101110011010110010000001010111011001001000111100,-0.067028,0.501338
0,1,011000101000000100000001000000001001101111000100101000110100,-0.227109,0.204793
0,1,011010100101001011011101011000000101111101111000011100110111,-0.110232,0.516327
0,1,010000101000100100000001000000001001101111010100101000110100,-0.211673,0.230143
0,1,010000101000100100000001000000001001001111000100101010110100,-0.217520,0.220617
0,1,111110111110100000010111111010110000101001101110101001010101,-0.088962,0.551713
0,1,011001001000000110000011001000000001001111001010101101110100,-0.177206,0.314206
0,1,010001001000000110000011001000000001001111001010101101110100,-0.192166,0.283506
0,1,010000001000000110000011001000000001001111001010101100110100,-0.188995,0.267369
0,1,010001001000000110000011001000000001001111001000101101110100,-0.170131,0.276119
0,1,010001001000000110000011001010000001001111001010101101110100,-0.186914,0.308113
0,1,010000101000000100000000000000001001001111000100101100100100,-0.208631,0.162482
1,1,010000100000000100000000000000001001001101000100101100100100,-0.209686,0.139478
1,1,010000101000000100000000000000001001001111000100001100100100,-0.200032,0.146794
1,1,010000100000000100000000010001000000001100000100101000100100,-0.195278,0.148523
1,1,010000100000000100000000110000000000001110000100101000100100,-0.226071,0.147362
0,1,011101001000000110000011011000000001001110001010101101110100,-0.183731,0.333157
0,1,010000101000100100000001000000001001001111000100100000110100,-0.212429,0.204027
0,1,011000101000000100000001000000001001001111000100101000110100,-0.227422,0.201248
0,1,011000101000000100000001000000011001001111000100101000110100,-0.227545,0.219828
0,1,010000101000100000000001000000001001001111000100100000110100,-0.207936,0.183982
1,1,011001100000000100000100110000001000001110000100101100100100,-0.245722,0.222231
0,1,010101001000100110000011001000000011001111001010001101110100,-0.180130,0.356486
0,1,010000101000100100000001000000001001001111000100101000110100,-0.217520,0.214181
0,1,010000101000100100000001000000001001001111000000101000110100,-0.193816,0.206196
0,1,010001101000110100000001000000001001001111000000101001110100,-0.194116,0.253189
0,1,011000101000100100000001000000001011001111000000101000110100,-0.196809,0.255981
0,1,010000101000100100000001000000001001001111010100101000110100,-0.212120,0.226598
0,1,010000101000100100000001000001001001001111000100101000110100,-0.203512,0.245847
0,1,010000101000000100000001000000001001001111000100101000110100,-0.212215,0.195867
0,1,010101001000100110000011000000001001001111001010101101110100,-0.184870,0.340455
0,1,000000101000110100000001000000001001001111001100101000110100,-0.210208,0.254757
1,1,011001100000000000000000110000001000001110000100101010100100,-0.245373,0.181519
1,1,011001100000000100001000110000001001001110000100101100100100,-0.269978,0.227668
1,1,011001100000000100000000110000000000001110000100101010100100,-0.226539,0.167145
0,1,010000001000000110001011001000000001001111001010101101110100,-0.189297,0.304563
1,1,011001100000000100001000110000001001001110000100100100100100,-0.270050,0.216336
1,1,011001100000000100001000110000001000001110000100101100100100,-0.267860,0.223881
0,1,011001100000000100001000110000001000001110000000101100100100,-0.229193,0.216436
0,1,011001100000000100001000100000001000001110000100101100100000,-0.216566,0.188692
0,1,011001100000000100001000110000001000001110000100001100100100,-0.233160,0.212320
0,1,010000001000000100000000000000001001100111010100101001100100,-0.203172,0.162937
1,1,011001100000000100000000110000001000001110000100101000100100,-0.248389,0.172472
